Navn;Type;SognNavn;SognKode;KommuneNavn;KommuneKode;RegionNavn;RegionKode;Kopieringsdato
Hov Dås;Høj/Banke;Sennels;8644;Thisted;787;Region Nordjylland;1081;23. maj 2013
Hov Hede;Skov/Plantage;Ulbjerg;8532;Viborg;791;Region Midtjylland;1082;23. maj 2013
Hov Røn;Ø;Halling;8097;Odder;727;Region Midtjylland;1082;23. maj 2013
Hovbak;By;Skærum;8434;Frederikshavn;813;Region Nordjylland;1081;23. maj 2013
Hovborg;By;Lindknud;8925;Vejen;575;Region Syddanmark;1083;23. maj 2013
Hovborg Plantage;Skov/Plantage;Lindknud;8925;Vejen;575;Region Syddanmark;1083;23. maj 2013
Hovby;Bydel;Faxe;7522;Faxe;320;Region Sjælland;1085;23. maj 2013
Hovdam;By;Vandborg;8861;Lemvig;665;Region Midtjylland;1082;23. maj 2013
Hovdam;By;Hove;8860;Lemvig;665;Region Midtjylland;1082;23. maj 2013
Hove;By;Smørum;7186;Egedal;240;Region Hovedstaden;1084;23. maj 2013
Hove;Bydel;Hove;8860;Lemvig;665;Region Midtjylland;1082;23. maj 2013
Hove;Sogn;NULL;;Lemvig;665;Region Midtjylland;1082;23. maj 2013
Hove Overdrev;Spredt bebyggelse;Hvedstrup;7161;Roskilde;265;Region Hovedstaden;1084;23. maj 2013
Hove Overdrev;Spredt bebyggelse;Hvedstrup;7161;Roskilde;265;Region Sjælland;1085;23. maj 2013
Hove Overdrev;Spredt bebyggelse;Hvedstrup;7161;Egedal;240;Region Hovedstaden;1084;23. maj 2013
Hove Overdrev;Spredt bebyggelse;Hvedstrup;7161;Egedal;240;Region Sjælland;1085;23. maj 2013
Hove Overdrev;Spredt bebyggelse;Smørum;7186;Roskilde;265;Region Hovedstaden;1084;23. maj 2013
Hove Overdrev;Spredt bebyggelse;Smørum;7186;Roskilde;265;Region Sjælland;1085;23. maj 2013
Hove Overdrev;Spredt bebyggelse;Smørum;7186;Egedal;240;Region Sjælland;1085;23. maj 2013
Hove Overdrev;Spredt bebyggelse;Smørum;7186;Egedal;240;Region Hovedstaden;1084;23. maj 2013
