Navn;Type;SognNavn;SognKode;KommuneNavn;KommuneKode;RegionNavn;RegionKode;Kopieringsdato
Gedevase;By;Ganløse;7413;Egedal;240;Region Hovedstaden;1084;23. maj 2013
Gedholm;Spredt bebyggelse;Thyregod;7977;Vejle;630;Region Syddanmark;1083;23. maj 2013
Gedhus Plantage;Skov/Plantage;Grove;8838;Herning;657;Region Midtjylland;1082;23. maj 2013
Gedhus Plantage;Skov/Plantage;Grove;8838;Viborg;791;Region Midtjylland;1082;23. maj 2013
Gedhus Plantage;Skov/Plantage;Ilskov;8801;Viborg;791;Region Midtjylland;1082;23. maj 2013
Gedhus Plantage;Skov/Plantage;Karup;8603;Herning;657;Region Midtjylland;1082;23. maj 2013
Gedhus Plantage;Skov/Plantage;Karup;8603;Viborg;791;Region Midtjylland;1082;23. maj 2013
Gedhus Plantage;Skov/Plantage;Ilskov;8801;Herning;657;Region Midtjylland;1082;23. maj 2013
Geding;By;Tilst;8130;Aarhus;751;Region Midtjylland;1082;23. maj 2013
Gedmose;Ager/Mark;Naur;8825;Holstebro;661;Region Midtjylland;1082;23. maj 2013
Gedsbjerg;By;Ullerslev;7728;Nyborg;450;Region Syddanmark;1083;23. maj 2013
Gedser;By;Gedesby;7582;Guldborgsund;376;Region Sjælland;1085;23. maj 2013
Gedser Odde;Pynt;Gedesby;7582;Guldborgsund;376;Region Sjælland;1085;23. maj 2013
Gedser Odde;Spredt bebyggelse;Gedesby;7582;Guldborgsund;376;Region Sjælland;1085;23. maj 2013
Gedser Rev;Undersøisk grund;NULL;;NULL;0;NULL;;23. maj 2013
Gedsergård;Herregård;Skelby;7581;Guldborgsund;376;Region Sjælland;1085;23. maj 2013
Gedsted;By;Gedsted;8519;Vesthimmerlands;820;Region Nordjylland;1081;23. maj 2013
Gedsted;Sogn;NULL;;Vesthimmerlands;820;Region Nordjylland;1081;23. maj 2013
Gedsted;Sogn;NULL;;Vesthimmerlands;820;Region Midtjylland;1082;23. maj 2013
Gedved;By;Hansted;8047;Horsens;615;Region Midtjylland;1082;23. maj 2013
Gedved;By;Tolstrup;8043;Horsens;615;Region Midtjylland;1082;23. maj 2013
Geelskov;Skov/Plantage;Ny Holte;7127;Rudersdal;230;Region Hovedstaden;1084;23. maj 2013
Geelskov;Skov/Plantage;Søllerød;7125;Rudersdal;230;Region Hovedstaden;1084;23. maj 2013
Geelsskov;By;Kølstrup;7800;Kerteminde;440;Region Syddanmark;1083;23. maj 2013
Geelså;Å;Birkende;7870;Odense;461;Region Syddanmark;1083;23. maj 2013
Geelså;Å;Rynkeby;7871;Kerteminde;440;Region Syddanmark;1083;23. maj 2013
Geelså;Å;Rynkeby;7871;Odense;461;Region Syddanmark;1083;23. maj 2013
Geelså;Å;Rønninge;7882;Kerteminde;440;Region Syddanmark;1083;23. maj 2013
Geelså;Å;Rønninge;7882;Odense;461;Region Syddanmark;1083;23. maj 2013
Geelså;Å;Birkende;7870;Kerteminde;440;Region Syddanmark;1083;23. maj 2013
Geelså;Å;Munkebo;7798;Kerteminde;440;Region Syddanmark;1083;23. maj 2013
Geelså;Å;Munkebo;7798;Odense;461;Region Syddanmark;1083;23. maj 2013
Geelså;Å;Kølstrup;7800;Kerteminde;440;Region Syddanmark;1083;23. maj 2013
Geelså;Å;Kølstrup;7800;Odense;461;Region Syddanmark;1083;23. maj 2013
Geelså;Å;Agedrup;7868;Kerteminde;440;Region Syddanmark;1083;23. maj 2013
Geelså;Å;Marslev;7869;Odense;461;Region Syddanmark;1083;23. maj 2013
Geelså;Å;Marslev;7869;Kerteminde;440;Region Syddanmark;1083;23. maj 2013
Geelså;Å;Agedrup;7868;Odense;461;Region Syddanmark;1083;23. maj 2013
Geestrup;Spredt bebyggelse;Agerskov;8956;Tønder;550;Region Syddanmark;1083;23. maj 2013
Geestrup Vestermark;Spredt bebyggelse;Agerskov;8956;Tønder;550;Region Syddanmark;1083;23. maj 2013
Geestruplund;By;Agerskov;8956;Tønder;550;Region Syddanmark;1083;23. maj 2013
Gejl;By;Lunde;8876;Varde;573;Region Syddanmark;1083;23. maj 2013
Gejl Å;Å;Bov;9029;Aabenraa;580;Region Syddanmark;1083;23. maj 2013
Gejl Å;Å;Bov;9029;Sønderborg;540;Region Syddanmark;1083;23. maj 2013
Gejl Å;Å;Kværs;9028;Aabenraa;580;Region Syddanmark;1083;23. maj 2013
Gejl Å;Å;Kværs;9028;Sønderborg;540;Region Syddanmark;1083;23. maj 2013
Gejl Å;Å;Holbøl;9024;Aabenraa;580;Region Syddanmark;1083;23. maj 2013
Gejl Å;Å;Holbøl;9024;Sønderborg;540;Region Syddanmark;1083;23. maj 2013
Gejl Å;Å;Tinglev;9061;Aabenraa;580;Region Syddanmark;1083;23. maj 2013
Gejl Å;Å;Tinglev;9061;Sønderborg;540;Region Syddanmark;1083;23. maj 2013
Gejlager;Spredt bebyggelse;Skodborg;8987;Vejen;575;Region Syddanmark;1083;23. maj 2013
Gejlbjerg;Bakke;NULL;;Varde;573;Region Syddanmark;1083;23. maj 2013
Gejlbjerg;Bakke;Henne;8881;Varde;573;Region Syddanmark;1083;23. maj 2013
Gejlbjerg;By;Agerskov;8956;Tønder;550;Region Syddanmark;1083;23. maj 2013
Gejlbjerg;Spredt bebyggelse;Skarrild;8810;Herning;657;Region Midtjylland;1082;23. maj 2013
Gejlbjerg;Spredt bebyggelse;Brande;7974;Ikast-Brande;756;Region Midtjylland;1082;23. maj 2013
Gejlbjerg;Spredt bebyggelse;Brande;7974;Herning;657;Region Midtjylland;1082;23. maj 2013
Gejlbjerg;Spredt bebyggelse;Vodder;9033;Tønder;550;Region Syddanmark;1083;23. maj 2013
Gejlbjerg;Spredt bebyggelse;Skarrild;8810;Ikast-Brande;756;Region Midtjylland;1082;23. maj 2013
Gejlbjerg;Spredt bebyggelse;Skærbæk;9038;Tønder;550;Region Syddanmark;1083;23. maj 2013
Gejlhøj;Bakke;Tvis;8746;Holstebro;661;Region Midtjylland;1082;23. maj 2013
Gejlhøj;Gravhøj;Vorgod;8766;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Gejlå;By;Holbøl;9024;Aabenraa;580;Region Syddanmark;1083;23. maj 2013
Gejlå Mark;Spredt bebyggelse;Kliplev;9027;Aabenraa;580;Region Syddanmark;1083;23. maj 2013
Gejlå Mark;Spredt bebyggelse;Holbøl;9024;Aabenraa;580;Region Syddanmark;1083;23. maj 2013
Gejsing;By;Andst;8937;Vejen;575;Region Syddanmark;1083;23. maj 2013
Gejsing Skov;Skov/Plantage;Andst;8937;Vejen;575;Region Syddanmark;1083;23. maj 2013
Gelballe;By;Skanderup;8939;Kolding;621;Region Syddanmark;1083;23. maj 2013
Gelballeskov;Spredt bebyggelse;Seest;8940;Kolding;621;Region Syddanmark;1083;23. maj 2013
Gelballeskov;Spredt bebyggelse;Skanderup;8939;Kolding;621;Region Syddanmark;1083;23. maj 2013
Gellerup;By;Varde;8873;Varde;573;Region Syddanmark;1083;23. maj 2013
Gellerup;Bydel;Gellerup;9097;Aarhus;751;Region Midtjylland;1082;23. maj 2013
Gellerup;Sogn;NULL;;Aarhus;751;Region Midtjylland;1082;23. maj 2013
Gellerup Plantage;Skov/Plantage;Næsbjerg;8911;Varde;573;Region Syddanmark;1083;23. maj 2013
Gellerup Plantage;Skov/Plantage;Varde;8873;Varde;573;Region Syddanmark;1083;23. maj 2013
Gelleruplund;Spredt bebyggelse;Varde;8873;Varde;573;Region Syddanmark;1083;23. maj 2013
Gellesten;By;Ølstykke;7409;Egedal;240;Region Hovedstaden;1084;23. maj 2013
Gels Å;Å;Tirslund;8958;Tønder;550;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Tirslund;8958;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Bevtoft;8957;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Bevtoft;8957;Tønder;550;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Bevtoft;8957;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Nustrup;8954;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Nustrup;8954;Tønder;550;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Nustrup;8954;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Gram;8946;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Gram;8946;Tønder;550;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Gram;8946;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Obbekær;8889;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Obbekær;8889;Tønder;550;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Obbekær;8889;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Seem;8887;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Seem;8887;Tønder;550;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Seem;8887;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Højrup;9037;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Højrup;9037;Tønder;550;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Højrup;9037;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Toftlund;8960;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Toftlund;8960;Tønder;550;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Toftlund;8960;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Gels Å;Å;Tirslund;8958;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Gelsbro;Bro, tunnel;Gram;8946;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Gelsbro;By;Gram;8946;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Gelsbro;By;Gram;8946;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Gelsbro;By;Seem;8887;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Gelsbro;By;Seem;8887;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Gelskov;Herregård;Hillerslev;7756;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Gelsted;By;Kerte;7811;Middelfart;410;Region Syddanmark;1083;23. maj 2013
Gelsted;By;Kerte;7811;Assens;420;Region Syddanmark;1083;23. maj 2013
Gelsted;By;Gelsted;7832;Middelfart;410;Region Syddanmark;1083;23. maj 2013
Gelsted;By;Gelsted;7832;Assens;420;Region Syddanmark;1083;23. maj 2013
Gelsted;By;Herlufmagle;7515;Næstved;370;Region Sjælland;1085;23. maj 2013
Gelsted;Sogn;NULL;;Middelfart;410;Region Syddanmark;1083;23. maj 2013
Gelsted Mose;Spredt bebyggelse;Gelsted;7832;Middelfart;410;Region Syddanmark;1083;23. maj 2013
Gelsted Tårup;Bydel;Gelsted;7832;Middelfart;410;Region Syddanmark;1083;23. maj 2013
Gelstedskov;Spredt bebyggelse;Gelsted;7832;Middelfart;410;Region Syddanmark;1083;23. maj 2013
Gelstoft;Spredt bebyggelse;Højrup;9037;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Gelstoft;Spredt bebyggelse;Gram;8946;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Gelstrup;By;Vokslev;8328;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Gelstrup;By;Egebjerg;7264;Odsherred;306;Region Sjælland;1085;23. maj 2013
Geltingskov;By;Taps;7947;Kolding;621;Region Syddanmark;1083;23. maj 2013
Geltofte;Spredt bebyggelse;Toreby;7596;Guldborgsund;376;Region Sjælland;1085;23. maj 2013
Genner;By;Øster Løgum;9015;Aabenraa;580;Region Syddanmark;1083;23. maj 2013
Genner Bugt;Bugt;NULL;;NULL;0;NULL;;23. maj 2013
Genner Strand;Sommerhusbebyggelse;Øster Løgum;9015;Aabenraa;580;Region Syddanmark;1083;23. maj 2013
Genner Strand;Sommerhusbebyggelse;Hoptrup;8965;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Genner Strand;Sommerhusbebyggelse;Øster Løgum;9015;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Genner Strand;Sommerhusbebyggelse;Hoptrup;8965;Aabenraa;580;Region Syddanmark;1083;23. maj 2013
Gennerhule;Bydel;Øster Løgum;9015;Aabenraa;580;Region Syddanmark;1083;23. maj 2013
Gentofte;By;Hellerup;7117;Gentofte;157;Region Hovedstaden;1084;23. maj 2013
Gentofte;By;Maglegårds;7118;Gentofte;157;Region Hovedstaden;1084;23. maj 2013
Gentofte;By;Helleruplund;7110;Gentofte;157;Region Hovedstaden;1084;23. maj 2013
Gentofte;By;Gentofte;7111;Gentofte;157;Region Hovedstaden;1084;23. maj 2013
Gentofte;By;Jægersborg;7112;Gentofte;157;Region Hovedstaden;1084;23. maj 2013
Gentofte;By;Vangede;7113;Gentofte;157;Region Hovedstaden;1084;23. maj 2013
Gentofte;By;Dyssegård;7114;Gentofte;157;Region Hovedstaden;1084;23. maj 2013
Gentofte;By;Ordrup;7115;Gentofte;157;Region Hovedstaden;1084;23. maj 2013
Gentofte;By;Skovshoved;7116;Gentofte;157;Region Hovedstaden;1084;23. maj 2013
Gentofte;Kommune;NULL;;NULL;0;Region Hovedstaden;1084;23. maj 2013
Gentofte;Sogn;NULL;;Gentofte;157;Region Hovedstaden;1084;23. maj 2013
Georgsminde;Spredt bebyggelse;Gjesing;8267;Norddjurs;707;Region Midtjylland;1082;23. maj 2013
Gerding;By;Gerding;8299;Rebild;840;Region Nordjylland;1081;23. maj 2013
Gerding;Sogn;NULL;;Rebild;840;Region Nordjylland;1081;23. maj 2013
Gerding Huse;By;Gerding;8299;Rebild;840;Region Nordjylland;1081;23. maj 2013
Gerdrup;By;Rislev;7517;Næstved;370;Region Sjælland;1085;23. maj 2013
Gerdrup;By;Kirkerup;7168;Roskilde;265;Region Sjælland;1085;23. maj 2013
Gerdrup;Herregård;Eggeslevmagle;7309;Slagelse;330;Region Sjælland;1085;23. maj 2013
Gerdrup Ravnemark;Spredt bebyggelse;Eggeslevmagle;7309;Slagelse;330;Region Sjælland;1085;23. maj 2013
Gerlev;By;Gerlev;7453;Frederikssund;250;Region Hovedstaden;1084;23. maj 2013
Gerlev;By;Gerlev;7358;Slagelse;330;Region Sjælland;1085;23. maj 2013
Gerlev;Sogn;NULL;;Slagelse;330;Region Sjælland;1085;23. maj 2013
Gerlev;Sogn;NULL;;Frederikssund;250;Region Hovedstaden;1084;23. maj 2013
Gerlev Strandpark;Sommerhusbebyggelse;Gerlev;7453;Frederikssund;250;Region Hovedstaden;1084;23. maj 2013
Gerning;By;Gerning;8487;Favrskov;710;Region Midtjylland;1082;23. maj 2013
Gerning;Sogn;NULL;;Favrskov;710;Region Midtjylland;1082;23. maj 2013
Gerrebæk;By;Tinglev;9061;Aabenraa;580;Region Syddanmark;1083;23. maj 2013
Gerringe;Bydel;Tirsted;7663;Lolland;360;Region Sjælland;1085;23. maj 2013
Gersdorffslund;Herregård;Gosmer;8096;Odder;727;Region Midtjylland;1082;23. maj 2013
Gersholt;By;Torslev;8445;Frederikshavn;813;Region Nordjylland;1081;23. maj 2013
Gershøj;By;Sæby;7181;Lejre;350;Region Sjælland;1085;23. maj 2013
Gershøj;By;Gershøj;7182;Lejre;350;Region Sjælland;1085;23. maj 2013
Gershøj;Sogn;NULL;;Lejre;350;Region Sjælland;1085;23. maj 2013
Gerskov;By;Skeby;7890;Nordfyns;480;Region Syddanmark;1083;23. maj 2013
Gersø Huse;Spredt bebyggelse;Skeby;7890;Nordfyns;480;Region Syddanmark;1083;23. maj 2013
Gerå;Å;Øster Hassing;9064;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Gerå;Å;Horsens;8383;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Gerå;Å;Asaa-Melholt;8452;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Gerå;Å;Asaa-Melholt;8452;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Gerå;Å;Dronninglund;8451;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Gerå;Å;Dronninglund;8451;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Gerå;Å;Hjallerup;8427;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Gerå;Å;Hjallerup;8427;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Gerå;Å;Ulsted;8386;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Gerå;Å;Ulsted;8386;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Gerå;Å;Vester Hassing;8385;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Gerå;Å;Vester Hassing;8385;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Gerå;Å;Hammer;8384;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Gerå;Å;Hammer;8384;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Gerå;Å;Horsens;8383;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Gerå;Å;Øster Hassing;9064;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Geraa;By;Asaa-Melholt;8452;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Geraa Enge;Spredt bebyggelse;Asaa-Melholt;8452;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Geraa Rimmer;Sommerhusbebyggelse;Asaa-Melholt;8452;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Gesager;Spredt bebyggelse;Hedensted;7971;Hedensted;766;Region Midtjylland;1082;23. maj 2013
Gesing;Bydel;Skærbæk;9038;Tønder;550;Region Syddanmark;1083;23. maj 2013
Gesing Mark;Spredt bebyggelse;Skærbæk;9038;Tønder;550;Region Syddanmark;1083;23. maj 2013
Gesinge;By;Bjerreby;7692;Svendborg;479;Region Syddanmark;1083;23. maj 2013
Gestelev;By;Gestelev;7749;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Gestelev;Sogn;NULL;;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Gestelev Lunde;Spredt bebyggelse;Espe;7750;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Gestelev Lunde;Spredt bebyggelse;Gestelev;7749;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Gesten;By;Gesten;8938;Vejen;575;Region Syddanmark;1083;23. maj 2013
Gesten;Sogn;NULL;;Vejen;575;Region Syddanmark;1083;23. maj 2013
Gesten Kær;Ager/Mark;Gesten;8938;Vejen;575;Region Syddanmark;1083;23. maj 2013
Gesten Skov;Skov/Plantage;Gesten;8938;Vejen;575;Region Syddanmark;1083;23. maj 2013
Gesten Skov;Skov/Plantage;Andst;8937;Vejen;575;Region Syddanmark;1083;23. maj 2013
Gesten Å;Bæk;Bække;8934;Vejen;575;Region Syddanmark;1083;23. maj 2013
Gesten Å;Bæk;Gesten;8938;Vejen;575;Region Syddanmark;1083;23. maj 2013
Gesten Å;Bæk;Læborg;8932;Vejen;575;Region Syddanmark;1083;23. maj 2013
Gestenge;Eng;Lydum;8880;Varde;573;Region Midtjylland;1082;23. maj 2013
Gestenge;Eng;Nørre Nebel;8879;Ringkøbing-Skjern;760;Region Syddanmark;1083;23. maj 2013
Gestenge;Eng;Nørre Nebel;8879;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Gestenge;Eng;Nørre Nebel;8879;Varde;573;Region Syddanmark;1083;23. maj 2013
Gestenge;Eng;Nørre Nebel;8879;Varde;573;Region Midtjylland;1082;23. maj 2013
Gestenge;Eng;Lydum;8880;Varde;573;Region Syddanmark;1083;23. maj 2013
Gestenge;Eng;Lydum;8880;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Gestenge;Eng;Lydum;8880;Ringkøbing-Skjern;760;Region Syddanmark;1083;23. maj 2013
Gestenge;Eng;Sønder Bork;8779;Ringkøbing-Skjern;760;Region Syddanmark;1083;23. maj 2013
Gestenge;Eng;Stauning;8774;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Gestenge;Eng;Sønder Bork;8779;Varde;573;Region Midtjylland;1082;23. maj 2013
Gestenge;Eng;Sønder Bork;8779;Varde;573;Region Syddanmark;1083;23. maj 2013
Gestenge;Eng;Sønder Bork;8779;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Gestenkær;Spredt bebyggelse;Gesten;8938;Vejen;575;Region Syddanmark;1083;23. maj 2013
Gestlunde;Spredt bebyggelse;Fåborg;8914;Varde;573;Region Syddanmark;1083;23. maj 2013
Gettrup;By;Helligsø;8653;Thisted;787;Region Nordjylland;1081;23. maj 2013
Gettrup;By;Skjellerup;8186;Mariagerfjord;846;Region Nordjylland;1081;23. maj 2013
Gettrup;By;Gettrup;8654;Thisted;787;Region Nordjylland;1081;23. maj 2013
Gettrup;Sogn;NULL;;Thisted;787;Region Nordjylland;1081;23. maj 2013
Gettrup;Spredt bebyggelse;Åstrup;8897;Vejen;575;Region Syddanmark;1083;23. maj 2013
Gettrup Mark;Spredt bebyggelse;Ulsted;8386;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Gettrup Mark;Spredt bebyggelse;Skjellerup;8186;Mariagerfjord;846;Region Nordjylland;1081;23. maj 2013
Gettrup Skov;Skov/Plantage;Ulsted;8386;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Gevninge;By;Gevninge;7164;Lejre;350;Region Sjælland;1085;23. maj 2013
Gevninge;By;Herslev;7163;Lejre;350;Region Sjælland;1085;23. maj 2013
Gevninge;Sogn;NULL;;Lejre;350;Region Sjælland;1085;23. maj 2013
Gevninge Old;By;Gevninge;7164;Lejre;350;Region Sjælland;1085;23. maj 2013
Gevninge Overdrev;Spredt bebyggelse;Kisserup;7176;Lejre;350;Region Sjælland;1085;23. maj 2013
Gevninge Overdrev;Spredt bebyggelse;Gevninge;7164;Lejre;350;Region Sjælland;1085;23. maj 2013
Gevninge Overdrev;Spredt bebyggelse;Allerslev;7172;Lejre;350;Region Sjælland;1085;23. maj 2013
Gevninge Overdrev;Spredt bebyggelse;Kirke Såby;7175;Lejre;350;Region Sjælland;1085;23. maj 2013
Gevnø;Bydel;Lyderslev;7550;Stevns;336;Region Sjælland;1085;23. maj 2013
Gevnø Mark;Spredt bebyggelse;Lyderslev;7550;Stevns;336;Region Sjælland;1085;23. maj 2013
Gibbel Næs;Næs;Humlum;8854;Struer;671;Region Midtjylland;1082;23. maj 2013
Giberå;Bæk;Sankt Pauls;8118;Aarhus;751;Region Midtjylland;1082;23. maj 2013
Giberå;Bæk;Beder;8109;Aarhus;751;Region Midtjylland;1082;23. maj 2013
Giberå;Bæk;Mårslet;8105;Aarhus;751;Region Midtjylland;1082;23. maj 2013
Gierslev;By;Gierslev;7234;Kalundborg;326;Region Sjælland;1085;23. maj 2013
Gierslev;Sogn;NULL;;Kalundborg;326;Region Sjælland;1085;23. maj 2013
Giesegård;By;Nordrupøster;7371;Ringsted;329;Region Sjælland;1085;23. maj 2013
Giesegård;Herregård;Nordrupøster;7371;Ringsted;329;Region Sjælland;1085;23. maj 2013
Gilbjerg;Bakke;Gilleleje;7431;Gribskov;270;Region Hovedstaden;1084;23. maj 2013
Gilbjerg;Spredt bebyggelse;Lindknud;8925;Vejen;575;Region Syddanmark;1083;23. maj 2013
Gilbjerg;Spredt bebyggelse;Hejnsvig;8945;Billund;530;Region Syddanmark;1083;23. maj 2013
Gilbjerg Hoved;Pynt;Gilleleje;7431;Gribskov;270;Region Hovedstaden;1084;23. maj 2013
Gildbro;By;Havnbjerg;9001;Sønderborg;540;Region Syddanmark;1083;23. maj 2013
Gildbro;By;Svenstrup;9000;Sønderborg;540;Region Syddanmark;1083;23. maj 2013
Gildehøj;Gravhøj;Vorgod;8766;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Gildesbo;By;Østerlarsker;7565;Bornholm;400;Region Hovedstaden;1084;23. maj 2013
Gildhøj;By;Udbyneder;8189;Randers;730;Region Midtjylland;1082;23. maj 2013
Gilhøj;Bakke;Trige;8071;Aarhus;751;Region Midtjylland;1082;23. maj 2013
Gilleleje;By;Græsted;7432;Gribskov;270;Region Hovedstaden;1084;23. maj 2013
Gilleleje;By;Gilleleje;7431;Gribskov;270;Region Hovedstaden;1084;23. maj 2013
Gilleleje;By;Søborg;7430;Gribskov;270;Region Hovedstaden;1084;23. maj 2013
Gilleleje;Sogn;NULL;;Gribskov;270;Region Hovedstaden;1084;23. maj 2013
Gilleleje Flak;Undersøisk grund;NULL;;NULL;0;NULL;;23. maj 2013
Gilleleje Øst;Standsningssted;Gilleleje;7431;Gribskov;270;Region Hovedstaden;1084;23. maj 2013
Gillesbjerg;Bakke;Lindelse;7708;Langeland;482;Region Syddanmark;1083;23. maj 2013
Gilsager;Spredt bebyggelse;Ringsted;7363;Ringsted;329;Region Sjælland;1085;23. maj 2013
Gimlinge;By;Gimlinge;7316;Slagelse;330;Region Sjælland;1085;23. maj 2013
Gimlinge;Sogn;NULL;;Slagelse;330;Region Sjælland;1085;23. maj 2013
Gimlinge Enghave;Spredt bebyggelse;Gimlinge;7316;Slagelse;330;Region Sjælland;1085;23. maj 2013
Gimming;By;Gimming;8209;Randers;730;Region Midtjylland;1082;23. maj 2013
Gimming;Sogn;NULL;;Randers;730;Region Midtjylland;1082;23. maj 2013
Gimsing;Bydel;Gimsing;8817;Struer;671;Region Midtjylland;1082;23. maj 2013
Gimsing;Sogn;NULL;;Struer;671;Region Midtjylland;1082;23. maj 2013
Gindeskov;Spredt bebyggelse;Grove;8838;Herning;657;Region Midtjylland;1082;23. maj 2013
Gindeskov Bæk;Bæk;Grove;8838;Herning;657;Region Midtjylland;1082;23. maj 2013
Gindeskov Bæk;Bæk;Haderup;8837;Herning;657;Region Midtjylland;1082;23. maj 2013
Gindeskov Krat;Skov/Plantage;Haderup;8837;Herning;657;Region Midtjylland;1082;23. maj 2013
Gingsholm;Spredt bebyggelse;Dronninglund;8451;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Ginnerup;By;Ølst;8136;Randers;730;Region Midtjylland;1082;23. maj 2013
Ginnerup;By;Heltborg;8686;Thisted;787;Region Nordjylland;1081;23. maj 2013
Ginnerup;By;Ginnerup;8162;Norddjurs;707;Region Midtjylland;1082;23. maj 2013
Ginnerup;Sogn;NULL;;Norddjurs;707;Region Midtjylland;1082;23. maj 2013
Gishale;By;Beldringe;7475;Vordingborg;390;Region Sjælland;1085;23. maj 2013
Gislev;By;Gislev;7768;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Gislev;Sogn;NULL;;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Gislev Holme;Spredt bebyggelse;Gislev;7768;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Gislinge;By;Gislinge;7295;Holbæk;316;Region Sjælland;1085;23. maj 2013
Gislinge;Sogn;NULL;;Holbæk;316;Region Sjælland;1085;23. maj 2013
Gislingegård;Herregård;Gislinge;7295;Holbæk;316;Region Sjælland;1085;23. maj 2013
Gislum;By;Gislum;8287;Vesthimmerlands;820;Region Nordjylland;1081;23. maj 2013
Gislum;Sogn;NULL;;Vesthimmerlands;820;Region Nordjylland;1081;23. maj 2013
Gisselfeld;Herregård;Bråby;7382;Faxe;320;Region Sjælland;1085;23. maj 2013
Gisseløre;Halvø;Vor Frue;7268;Kalundborg;326;Region Sjælland;1085;23. maj 2013
Gistrup;By;Gunderup;8318;Aalborg;851;Region Nordjylland;1081;23. maj 2013
